Start-Time: 28/09/2016 21:46:14

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
05/09/2017, Pournami upto  23:21, Sathayam upto  24:56+,  ,  , 
06/09/2017, Pirathamai upto  23:02, Poorattathi upto  25:16+,  ,  , 
07/09/2017, Thuthiyai upto  22:14, Uthirattathi upto  25:08+,  ,  , 
08/09/2017, Thiruthiyai upto  21:00, Revathi upto  24:34+,  ,  , 
09/09/2017, Sathurthi upto  19:23, Aswini upto  23:38,  ,  , 
10/09/2017, Panjami upto  17:27, Bharani upto  22:24,  ,  , 
11/09/2017, Shasti upto  15:17, Karthigai upto  20:57,  ,  , 
12/09/2017, Sapthami upto  12:57, Rohini upto  19:21,  ,  , 
13/09/2017, Astami upto  10:32, Mirugasirisham upto  17:41,  ,  , 
14/09/2017, Navami upto  08:06, Thiruvathirai upto  16:02, Thasami upto  29:44+,  , 
15/09/2017, Egadashi upto  27:32+, Punarpoosam upto  14:29,  ,  , 
16/09/2017, Duvadasi upto  25:34+, Poosam upto  13:08,  ,  , 
17/09/2017, Thirayodasi upto  23:53, Ayilyam upto  12:01,  ,  , 
18/09/2017, Sathuradasi upto  22:35, Magam upto  11:15,  ,  , 
19/09/2017, Amavasai upto  21:42, Pooram upto  10:52,  ,  , 
20/09/2017, Pirathamai upto  21:18, Uthiram upto  10:56,  ,  , 
21/09/2017, Thuthiyai upto  21:25, Hastham upto  11:29,  ,  , 
22/09/2017, Thiruthiyai upto  22:02, Chithirai upto  12:32,  ,  , 
23/09/2017, Sathurthi upto  23:09, Swathi upto  14:05,  ,  , 
24/09/2017, Panjami upto  24:41+, Visakam upto  16:03,  ,  , 
25/09/2017, Shasti upto  26:33+, Anusham upto  18:23,  ,  , 
26/09/2017, Sapthami upto  28:36+, Kettai upto  20:56,  ,  , 
27/09/2017, Astami upto Full Night, Moolam upto  23:33,  ,  , 
28/09/2017, Astami upto  06:41, Pooradam upto  26:03+,  ,  , 
29/09/2017, Navami upto  08:36, Uthiradam upto  28:19+,  ,  , 
30/09/2017, Thasami upto  10:14, Thiruvonam upto  30:12+,  ,  , 
01/10/2017, Egadashi upto  11:26, Avittam upto Full Night,  ,  , 
02/10/2017, Duvadasi upto  12:11, Avittam upto  07:38,  ,  , 
03/10/2017, Thirayodasi upto  12:24, Sathayam upto  08:35,  ,  , 
04/10/2017, Sathuradasi upto  12:08, Poorattathi upto  09:01,  ,  , 
05/10/2017, Pournami upto  11:21, Uthirattathi upto  08:59,  ,  , 
06/10/2017, Pirathamai upto  10:09, Revathi upto  08:31,  ,  , 
07/10/2017, Thuthiyai upto  08:35, Aswini upto  07:40,  , Bharani upto  30:30+, 
08/10/2017, Thiruthiyai upto  06:41, Karthigai upto  29:05+, Sathurthi upto  28:32+,  , 
09/10/2017, Panjami upto  26:14+, Rohini upto  27:31+,  ,  , 
10/10/2017, Shasti upto  23:50, Mirugasirisham upto  25:51+,  ,  , 
11/10/2017, Sapthami upto  21:26, Thiruvathirai upto  24:11+,  ,  , 
12/10/2017, Astami upto  19:06, Punarpoosam upto  22:37,  ,  , 
13/10/2017, Navami upto  16:55, Poosam upto  21:12,  ,  , 
14/10/2017, Thasami upto  14:59, Ayilyam upto  20:02,  ,  , 
15/10/2017, Egadashi upto  13:21, Magam upto  19:11,  ,  , 
16/10/2017, Duvadasi upto  12:04, Pooram upto  18:42,  ,  , 
17/10/2017, Thirayodasi upto  11:14, Uthiram upto  18:40,  ,  , 
18/10/2017, Sathuradasi upto  10:52, Hastham upto  19:06,  ,  , 
19/10/2017, Amavasai upto  11:01, Chithirai upto  20:02,  ,  , 
20/10/2017, Pirathamai upto  11:41, Swathi upto  21:28,  ,  , 
21/10/2017, Thuthiyai upto  12:50, Visakam upto  23:21,  ,  , 
22/10/2017, Thiruthiyai upto  14:25, Anusham upto  25:36+,  ,  , 
23/10/2017, Sathurthi upto  16:19, Kettai upto  28:07+,  ,  , 
24/10/2017, Panjami upto  18:25, Moolam upto  30:44+,  ,  , 
25/10/2017, Shasti upto  20:32, Pooradam upto Full Night,  ,  , 
26/10/2017, Sapthami upto  22:30, Pooradam upto  09:17,  ,  , 
27/10/2017, Astami upto  24:09+, Uthiradam upto  11:37,  ,  , 
28/10/2017, Navami upto  25:23+, Thiruvonam upto  13:35,  ,  , 
