Start-Time: 05/09/2015 10:38:45

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
19/06/2016, Pournami upto  28:02+, Kettai upto  17:35,  ,  , 
20/06/2016, Pirathamai upto  28:36+, Moolam upto  19:01,  ,  , 
21/06/2016, Thuthiyai upto  28:47+, Pooradam upto  20:01,  ,  , 
22/06/2016, Thiruthiyai upto  28:34+, Uthiradam upto  20:39,  ,  , 
23/06/2016, Sathurthi upto  28:01+, Thiruvonam upto  20:55,  ,  , 
24/06/2016, Panjami upto  27:06+, Avittam upto  20:51,  ,  , 
25/06/2016, Shasti upto  25:50+, Sathayam upto  20:26,  ,  , 
26/06/2016, Sapthami upto  24:14+, Poorattathi upto  19:40,  ,  , 
27/06/2016, Astami upto  22:17, Uthirattathi upto  18:34,  ,  , 
28/06/2016, Navami upto  20:01, Revathi upto  17:08,  ,  , 
29/06/2016, Thasami upto  17:28, Aswini upto  15:26,  ,  , 
30/06/2016, Egadashi upto  14:44, Bharani upto  13:30,  ,  , 
01/07/2016, Duvadasi upto  11:53, Karthigai upto  11:28,  ,  , 
02/07/2016, Thirayodasi upto  09:03, Rohini upto  09:27,  ,  , 
03/07/2016, Sathuradasi upto  06:23, Mirugasirisham upto  07:36, Amavasai upto  28:00+,  , 
04/07/2016, Pirathamai upto  26:05+, Thiruvathirai upto  06:03,  , Punarpoosam upto  28:58+, 
05/07/2016, Thuthiyai upto  24:45+, Poosam upto  28:29+,  ,  , 
06/07/2016, Thiruthiyai upto  24:07+, Ayilyam upto  28:42+,  ,  , 
07/07/2016, Sathurthi upto  24:14+, Magam upto Full Night,  ,  , 
08/07/2016, Panjami upto  25:06+, Magam upto  05:40,  ,  , 
09/07/2016, Shasti upto  26:38+, Pooram upto  07:21,  ,  , 
10/07/2016, Sapthami upto  28:41+, Uthiram upto  09:40,  ,  , 
11/07/2016, Astami upto Full Night, Hastham upto  12:25,  ,  , 
12/07/2016, Astami upto  07:03, Chithirai upto  15:24,  ,  , 
13/07/2016, Navami upto  09:29, Swathi upto  18:22,  ,  , 
14/07/2016, Thasami upto  11:44, Visakam upto  21:06,  ,  , 
15/07/2016, Egadashi upto  13:38, Anusham upto  23:27,  ,  , 
16/07/2016, Duvadasi upto  15:02, Kettai upto  25:16+,  ,  , 
17/07/2016, Thirayodasi upto  15:53, Moolam upto  26:33+,  ,  , 
18/07/2016, Sathuradasi upto  16:10, Pooradam upto  27:18+,  ,  , 
19/07/2016, Pournami upto  15:56, Uthiradam upto  27:34+,  ,  , 
20/07/2016, Pirathamai upto  15:15, Thiruvonam upto  27:25+,  ,  , 
21/07/2016, Thuthiyai upto  14:10, Avittam upto  26:55+,  ,  , 
22/07/2016, Thiruthiyai upto  12:46, Sathayam upto  26:08+,  ,  , 
23/07/2016, Sathurthi upto  11:07, Poorattathi upto  25:07+,  ,  , 
24/07/2016, Panjami upto  09:16, Uthirattathi upto  23:56,  ,  , 
25/07/2016, Shasti upto  07:15, Revathi upto  22:36, Sapthami upto  29:06+,  , 
26/07/2016, Astami upto  26:51+, Aswini upto  21:10,  ,  , 
27/07/2016, Navami upto  24:34+, Bharani upto  19:41,  ,  , 
28/07/2016, Thasami upto  22:16, Karthigai upto  18:11,  ,  , 
29/07/2016, Egadashi upto  20:04, Rohini upto  16:44,  ,  , 
30/07/2016, Duvadasi upto  18:00, Mirugasirisham upto  15:26,  ,  , 
31/07/2016, Thirayodasi upto  16:12, Thiruvathirai upto  14:22,  ,  , 
01/08/2016, Sathuradasi upto  14:44, Punarpoosam upto  13:39,  ,  , 
02/08/2016, Amavasai upto  13:44, Poosam upto  13:22,  ,  , 
03/08/2016, Pirathamai upto  13:16, Ayilyam upto  13:37,  ,  , 
04/08/2016, Thuthiyai upto  13:25, Magam upto  14:28,  ,  , 
05/08/2016, Thiruthiyai upto  14:11, Pooram upto  15:56,  ,  , 
06/08/2016, Sathurthi upto  15:34, Uthiram upto  17:59,  ,  , 
07/08/2016, Panjami upto  17:28, Hastham upto  20:31,  ,  , 
08/08/2016, Shasti upto  19:44, Chithirai upto  23:23,  ,  , 
09/08/2016, Sapthami upto  22:08, Swathi upto  26:22+,  ,  , 
10/08/2016, Astami upto  24:29+, Visakam upto  29:14+,  ,  , 
11/08/2016, Navami upto  26:31+, Anusham upto Full Night,  ,  , 
12/08/2016, Thasami upto  28:05+, Anusham upto  07:47,  ,  , 
13/08/2016, Egadashi upto  29:02+, Kettai upto  09:50,  ,  , 
